Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2000-04-06,968.4375,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-07,612.9167,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-08,476.5104,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-09,429.3229,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-10,352.29166,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-11,296.47916,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-12,382.6146,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-13,416.70834,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-14,551.03125,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-15,628.0417,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-16,492.6875,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-17,396.8125,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-18,332.5625,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-19,278.9271,streamflow,3539600,ft3/s,"['A', '[91]']",0
2000-04-20,228.92708,streamflow,3539600,ft3/s,"['A', '[91]']",0
